PART_NUMBER,REGIMEN,TypeMaterial,DESCRIPTION_EN,DESCRIPCION_ES,UMC,UMT,HTSMX,HTSMXBASE,HTSMXNICO,IGI_DUTY,PROSEC,R8,DESCRIPCION_R8,RRYNA_NON_DUTY_REQUIREMENTS,REMARKS,NETWEIGHT,IMPORTED_OR_NOT,SENSIBLE,HTS_SerialNo,CLAVESAT,DESCRIPCION_CN,MATERIAL_CN,MATERIAL_EN,FUNCTION_CN,FUNCTION_EN,COMPANY
5BYV-190413-2400-11,IN,KD,LH REAR SIDE DOOR LOWER DECAL, ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO,PZA,KG,4908909999,49089099,99,35,0,1931R825050530,"CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO  ETIQUETA DE PLASTICO  PLACA DE ADVERTENCIA , CALCOMANIA 4908909999",,,0.001,Y,N,CF SALE MXHTS2025050007,55121606,,,,,,
5SYV-230200-6003-0BP00,IN,0,REAR CAB,PARTE DE LA ESTRUCTURA INTERIOR DEL VEHICULO (CONEXION SUPERIOR DERECHA DEL EJE TRASERO),PZA,PZA,8708109900,87081099,0,10,3,1931R825050493,"PASTES DEL PARACHOQUES , PARACHOQUES  PARTE DE LA ESTRUCTURA INTERIOR DEL VEHICULO 8708109900",NO RRNA,0,20,Y,N,0,25181600,,,,,,
940010-06169,A1,Equipo,COUPLER,CILINDRO NEUMATICO,PZA,PZA,8412319900,84123199,0,0,,,,,,245,Y,N,CF SALE MXHTS2025110066,,e az c1 4 a c cY3,Aluminum alloy,ALLOY,The pressure energy of compressed gas is converted into mechanical energy,CYLINDERS ARE CORE PNEUMATIC ACTUATORS THAT CONVERT THE PRESSURE ENERGY OF COMPRESSED AIR INTO MECHANICAL ENERGY MAINLY REALIZING LINEAR RECIPROCATING MOTION OR OSCILLATING MOTION TO DRIVE INDUSTRIAL EQUIPMENT,four wheeler
5HYV-120004-6000,IN,0,FLUID PIPE BRACKET,SOPORTE,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.006,Y,N,0,39111827,,,,,,
5SYV-131120-8000,IN,KD,Support Plate,PARTE PARA ASIENTO,PZA,PZA,9401200100,94012001,1,0,,,,,,1,Y,N,CF SALE MXHTS2025050082,25172002,,,,,,
5HYV-031304-6001-H1M,IN,KD,Front mounting bracket of the front right rocker arm.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.162,Y,N,0,25181604,,,,,,
5HYV-041053-6000,IN,0,FRONT LH SIDE PANEL,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.472,Y,N,0,25181604,,,,,,
5BWV-031264-5000-H1M,IN,0,Upper left tank mounting bracket,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.066,Y,N,0,25181604,,,,,,
5HYV-031305-6000-H1M,IN,KD,Left mounting bracket for rear suspension.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,3.74,Y,N,0,25181604,,,,,,
601401-00064,A1,Equipo,Rivet gun,REMACHADORA NEUMATICA,PZA,PZA,8467199900,84671999,0,0,,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,1.2,Y,N,CF SALE MXHTS2025020017,27111300,,,,,,
5BWV-060110-5001A,IN,0,REAR LH UPPER SWING ARM,BRAZO OSCILANTE PARA SUSPENSION TRASERA,PZA,PZA,8708800500,87088005,0,0,,,,NO RRNA,0,1.983,Y,N,0,25172000,,,,,,
940010-12598,A1,Equipo,UPVC Tee Connector,ACCESORIO PARA TUBERIA DE PVC,PZA,KG,3917400100,39174001,0,0,,,,,,0.18,Y,N,CF SALE MXHTS2025070030,25174800,,,,,,
JXMF-MX-0120,A1,Equipo,terminals DT25,TERMINAL,PZA,PZA,7419200200,74192002,0,15,3,,,,,0.03,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
5BYV-051600-6000-0VN00,IN,0,REAR SHOCK ABSORBER ASSY,ENSAMBLE DE AMORTIGUADOR TRASERO,PZA,PZA,8708809900,87088099,0,5,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,8.704,Y,N,0,25172000,,,,,,
5HY0-080003,IN,0,CLIP FRONT LH BRAKE FLUID PIPE,COMPONENTE DE FRENOS,PZA,PZA,8708309901,87083099,1,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.003,Y,N,0,25171721,,,,,,
Q890-3100A0,IN,KD,Front axle bevel gear combination,ENGRANE,PZA,PZA,8708509999,87085099,99,5,3 unicamente: Fundas para ejes traseros; flechas semiejes acoplables al mecanismo diferencial incluso las de velocidad constante (homocineticas) y sus partes componentes; juntas universales tipo cardan para cruceta; ejes cardanicos.,1931R825050423,EJE DE TRANSMISION  SOPORTE DE EJE  CUBO DE RUEDA PARA TRANSMISION  PARTE DEL EJE  BRAZO PARA SUSPENSION  DIFERENCIAL 8708509999,,,3.484,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
5SYV-377000-8300,IN,KD,Left Rear Door Locking Hook Assembly,GANCHO DE BLOQUEO PARA CERRDURA,PZA,PZA,8301600299,83016002,99,0,,,,,,0.136,Y,N,CF SALE MXHTS2025060032,25174800,,,,,,
5BYV-190101-8500-12,IN,0,DECAL LH TOP COVER,CALCOMANIAS DECORATIVAS PARA VEHICULOS,PZA,KG,4908909901,49089099,1,35,0,1931R825050569,ETIQUETA AUTOADHESIVA  CALCOMANIAS DE PLASTICO  CALCOMANIA PARA PUERTA  CALCOMANIAS DECORATIVAS PARA VEHICULOS  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO   ETIQUETAS ADHESIVAS  DE PLASTICO  ETIQUETA DE DESCRIPCION DE CAPACIDAD DE REMOLQUE  ETIQUETA DE MANIJA  ETIQUETA PLASTICA  CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS  DE PLASTICO 4908909901,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.009,Y,N,0,55121600,,,,,,
5BWV-320100-5000,IN,0,GEARSHIFT CABLE,CHICOTE ARBOL FLEXIBLE,PZA,PZA,8483100804,84831008,4,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.13,Y,N,0,26111510,,,,,,
0JYA-173000,IN,0,THROTTLE BODY ASSY,ENSAMBLE DEL CUERPO ACELERADOR,PZA,PZA,8409919999,84099199,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.77,Y,N,0,25181600,,,,,,
30105-040008410,IN,KD,Screw M4A-8,PERNO,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,NOM-050-SCFI-2004,,0.003,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
5KWV-031001-1000-H1M,IN,KD,Front left slant support beam,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.374,Y,N,0,25181604,,,,,,
5BYV-081800-9000,IN,0,WIRE BOX BRACKET,SOPORTE DE CAJA DE ALAMBRE,PZA,PZA,8302309100,83023091,0,15,Ex. ,,,NO RRNA,0,0.026,Y,N,0,25191700,,,,,,
5ASV-360004-6001,IN,KD,CANISTER BRACKET,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.094,Y,N,CF SALE MXHTS2025050007,25181604,,,,,,
4060-060101,IN,KD,REAR SWING ARM MOUNTING SHAFT,EJE DE MONTAJE DE BALANCIN DE SUSPENSION,PZA,PZA,8708800500,87088005,0,0,,,,,,0.16,Y,N,CF SALE MXHTS2025050007,25172000,,,,,,
5HYV-190201-1D00-12,IN,0,CARGO BOX LH DECO PLATE DECAL,CALCOMANIAS DECORATIVAS PARA CARROCERIA,PZA,KG,4908909999,49089099,99,35,0,1931R825050530,"CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO  ETIQUETA DE PLASTICO  PLACA DE ADVERTENCIA , CALCOMANIA 4908909999",NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.001,Y,N,0,55121600,,,,,,
5ASV-803042-6000,IN,0,RUBBER SLEEVE MASTER CYLINDER,PIEZA DE CAUCHO DE USO TECNICO,PZA,KG,4016990100,40169901,0,5,Ex. ,,,NO RRNA,0,0.04,Y,N,0,13101600,,,,,,
5HYV-223024-6000-0RT00,IN,0,CARGO BOX RH DECO PLATE,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.45,Y,N,0,25181604,,,,,,
940010-08705,A1,Equipo,Diaphragm metering pump inlet check valve,VALVULA,PZA,PZA,8481309999,84813099,99,0,,,,NO RRNA,0,0.15,Y,N,0,40141600,,,,,,
601401-00161,A1,Equipo,sleeve,UTIL INTERCAMBIABLE,PZA,PZA,8207909900,82079099,0,35,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.05,Y,N,CF SALE MXHTS2025020017,31171502,,,,,,
5HYV-223031-6001,IN,0,CARGO BOX REAR PANEL,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.76,Y,N,0,25181604,,,,,,
940010-11171,A1,Equipo,Electrophoresis ultrafiltration membrane,MEMBRANA DE FILTRACION,PZA,PZA,8421999999,84219999,99,0,,,,,,16.5,Y,N,CF SALE MXHTS2025040015,25174800,,,,,,
5BYV-030400-6001,IN,0,PASSENGER SEAT BRACKET ASSY,ENSAMBLE DE SOPORTE DEL ASIENTO PASAJERO,PZA,PZA,9401999901,94019999,1,0,,,,NO RRNA,0,1.759,Y,N,0,25181600,,,,,,
601401-00088,A1,Embalaje,Magnetic screwdriver socket 1/4A-13A-65MM K613065,DADOS INTERCAMBIALES,PZA,PZA,8204209900,82042099,0,10,Ex.,,,,,0.05,Y,N,CF SALE MXHTS2025110028,,a c e a a c 1 4A 13A 65MM K613065,steel,Steel,Assembly and use,For assembly use,two wheeler
5BYV-190001-2400-12,IN,KD,HANDLEBAR TAG,ETIQUETA AUTOADHESIVA,PZA,KG,3919909900,39199099,0,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,,,0.001,Y,N,CF SALE MXHTS2025050007,55121606,,,,,,
5020-031001,IN,0,RUBBER SLEEVE FRONT LICENSE BRACKET,MANGUITO DE CAUCHO,PZA,KG,4016990100,40169901,0,5,Ex. ,,,NO RRNA,0,0.005,Y,N,0,13101600,,,,,,
5KWV-150300-1001,IN,KD,TAIL LIGHT AUXILIARY CABLE,CABLE CON CONEXIONES,PZA,PZA,8544429904,85444299,4,5,Ex. ,,,NO RRNA,,0.25,Y,N,0,26121800,,,,,,
5BWV-230308-5000-H1M,IN,KD,Front bumper connecting plate,PARTE DE PARACHOQUES,PZA,PZA,7326909999,73269099,99,35,,1931R825050612,CINCHO METALICO  SOPORTE METALICO  TAPA  GANCHO FRONTAL  EMBALAJE DE ACERO  MANUFACTURA DE METAL  SUJETADORES DE ACERO  PLACA DE IDENTIFICACION DEL VEHICULO  BLOQUE DE ACERO  MANUFACTURA DE ACERO  PARTE DEL EMBALAJE  CUBIERTA  GANCHO DE ACERO 7326909999,NOM-050-SCFI-2004,,0.053,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HYV-160420-6000,IN,0,FRONT RH POSITION LIGHT,LUCES AUTOMOTRIZ,PZA,PZA,8512209900,85122099,0,5,Ex. ,,,NOM-024-SCFI-2013,Need to label specific NOM-024 shipment mark,0.31,Y,N,0,40161505,,,,,,
601401-00642,A1,Equipo,Trimmer blade,UTIL INTERCAMBIABLE,PZA,PZA,8207909900,82079099,0,35,Ex. ,,,0,0,0.05,Y,N,0,27113103,,,,,,
5HY0-230200-9BP00,IN,0,BUMPER,ESTRUCTURA PROTECTOR,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,22,Y,N,0,25181604,,,,,,
TFQ024,A1,0,Louver polishing disc,DISCO ABRASIVO,PZA,KG,6805300100,68053001,0,5,Ex. ,,,NO RRNA,0,0,Y,N,0,31191500,,,,,,
5HYV-032270-6000-H1M,IN,KD,Gusset assembly of brake oil pipe bracket.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.144,Y,N,0,25181604,,,,,,
940010-12599,A1,Equipo,UPVC Tee Connector,ACCESORIO PARA TUBERIA DE PVC,PZA,KG,3917400100,39174001,0,0,,,,,,0.2,Y,N,CF SALE MXHTS2025070030,25174800,,,,,,
940010-08404,A1,Equipo,Gear motor,MOTOR,PZA,PZA,8501529902,85015299,2,0,,,,NOM-016-ENER-2016,Can be imported,67.356,Y,N,0,26101201,,,,,,
5HYV-031303-6001-H1M,IN,KD,Front mounting bracket of the front left rocker arm.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.162,Y,N,0,25181604,,,,,,
5ASV-450330-5000,IN,KD,LOWER LIMIT BRACKET ASSY,ABRAZADERA DE ACERO,PZA,PZA,7326909903,73269099,3,35,,1931R825050550,ABRAZADERA DE ACERO CLIP DE FIJACION 7326909903,,,0.105,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
940010-08591,A1,Equipo,304 stainless steel double-breasted chain closure,PARTE DE CADENA,PZA,KG,7315190499,73151904,99,0,,,,NO RRNA,0,1,Y,N,0,31163027,,,,,,
5HY#-1100AC-1000,IN,0,REAR WHEEL ASSY,RIN CON NEUMATICO,PZA,PZA,8708709999,87087099,99,0,,,,NOM-086-SCFI-2018,Can be imported,14.36,Y,N,0,25171900,,,,,,
5HYV-237000-6000-28,IN,KD,Lower crossbeam tube of rear top bar, PARTES DE LA CARROCERIA PARA VEHICULOS AUTOMOTORES,PZA,PZA,8708220100,87082201,99,10,Ex. ,,,,,0.84,Y,N,CF SALE MXHTS2025060020,25181604,,,,,,
5HY0-030211-1MP0M,IN,0,MAIN SEAT LIMIT LEVER,PARTE DE LA ESTRUCTURA INTERIOR DEL VEHICULO (TOPE DEL COJIN PRINCIPAL),PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.042,Y,N,0,25181600,,,,,,
520090-01161,A1,Embalaje,Car Cleaning Towel 30A-70 White Microfiber,MICROFIBRA,PZA,KG,6307100100,63071001,0,35,,,,PRECIO ESTIMADO 1.04 KG NOM-004-SE-2021 Permiso automatico ante la Secretaria de EconomiaRRNA(unic,,0.047,Y,N,CF SALE MXHTS2025110028,,e1 2 a 3 4 30A 70cTM1 2e 2e c co c,a,Cloth,Decal and shipping cleaning,Decals and shipping cleanliness,two wheeler
5SYV-044048-8002,IN,KD,B-COLUMN RH PANEL,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.205,Y,N,0,25181604,,,,,,
89123411,A1,Equipo,UPVC tee,CONECTOR,PZA,KG,3917400100,39174001,0,0,,,,0,0,0.21,Y,N,0,31163100,,,,,,
5FYV-374109-1000-H1,IN,KD,Right Front Door Connecting Pipe 3,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex.,,,,,0.2,Y,N,CF SALE MXHTS2025120006,25181604,Right front door connected to Tube III,Steel,Steel,Welded parts that make up the car door,Welded parts that make up a car door,four wheeler
940010-09458,A1,Equipo,Mingli Spray Gun,PISTOLA AEROGRAFICA PARA PINTURA,PZA,PZA,8424209901,84242099,1,0,,,,,,0.5,Y,N,CF SALE MXHTS2025110007,,Za 1 2spray gun,steeli1 4 plastic,Steel plastic,plastica e e a 1 4,Spray painting on plastic parts,four wheeler
A20251204,A1,Equipo,Steel Plate Clamp,GANCHO DE ELEVACION,PZA,PZA,8431399900,84313999,0,0,,,,,,7.7,Y,N,CF SALE MXHTS2025120002,31162608,steel e 3,iron,iron,Steel plate lifting clamps,Plate Lifting Clamp,four wheeler
5HY0-031413-0MP0M,IN,0,BRAKE AUXILIARY REINFORCEMENT PIPE,TUBOS DE REFUERZO DE ASISTENCIA DE FRENADO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.138,Y,N,0,25181604,,,,,,
5KWV-034040-1000-H1M,IN,KD,Rear left bottom plate installation bracket,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.551,Y,N,0,25181604,,,,,,
5HY0-030204-0MP0M,IN,0,Left Locking Mounting Plate,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.15,Y,N,0,25181604,,,,,,
5BYV-081900-9000,IN,0,BRACKET,SOPORTE,PZA,PZA,8302309100,83023091,0,15,Ex. ,,,NO RRNA,0,0.019,Y,N,0,30103202,,,,,,
5SYV-030320-8000-H1M,IN,KD,Front Seat Frame Beam Assembly,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,2.496,Y,N,CF SALE MXHTS2025050073,25181604,,,,,,
5SYV-190006-1300-12,IN,KD,HANDLEBAR TAG,ETIQUETA AUTOADHESIVA,PZA,KG,3919909900,39199099,0,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,,,0.001,Y,N,CF SALE MXHTS2025050007,55121606,,,,,,
5HYV-060201-6000,IN,0,REAR LH SWINGARM GUARD,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.25,Y,N,0,25181604,,,,,,
5HYV-805310-9001,IN,KD,Wiper Motor Assembly,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NOM-024-SCFI-2013,,0.12,Y,N,CF SALE MXHTS2025080004,25181604,,,,,,
JXMF-MX-0177,A1,Equipo,Tracheal direct connector6mm,CONECTOR,PZA,KG,3917400100,39174001,0,0,,,,,,0.01,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
940010-08452,A1,Equipo,Gear motor,MOTOR,PZA,PZA,8501529902,85015299,2,0,,,,NOM-016-ENER-2016,Can be imported,67.356,Y,N,0,26101201,,,,,,
5HYV-351100-9001,IN,KD,AIR CONDITIONER ASSY,EQUIPO DE AIRE ACONDICIONADO,PZA,PZA,8415200100,84152001,0,5,Ex. ,,,,,6,Y,N,CF SALE MXHTS2025040002,40101502,,,,,,
6KMV-121000-2500-B,A1,KD,FUEL TANK Assembly,TANQUE DE COMBUSTIBLE,PZA,PZA,8714100200,87141002,0,0,,,,,,4.15,Y,N,CF SALE MXHTS2025120005,25172406,21c a e,steel,steel,Assembling the complete vehicle,Assemble the whole vehicle,two wheeler
JXMF-MX-0159,A1,Equipo,rubber ring DN15,PARTE DE MANOMETRO,PZA,PZA,9026900100,90269001,0,0,,,,,,0.2,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
9010-120008,IN,0,SPONGE PAD FUEL TANK,ALMOHADILLA DE CAUCHO CELULAR,PZA,KG,4016100100,40161001,0,0,,,,NO RRNA,0,0.85,Y,N,0,13101600,,,,,,
5HY0-030100-10000,IN,0,PROTECTION PIPE RESERVOIR,COMPONENTE DE PROTECCION DE TANQUE DE AGUA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.9,Y,N,0,25181604,,,,,,
5HYV-021120-6000,IN,KD,EXHAUST MANIFOLD HEAT INSULATOR 1,CUBIERTA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.138,Y,N,CF SALE MXHTS2025060043,25174800,,,,,,
5SYV-031306-6000-H1M,IN,0,FRONT RIGHT LOWER ROCKER ARM FIXED BRACKET ONE,PARTE DE LA ESTRUCTURA INTERIOR DEL VEHICULO (SOPORTE INFERIOR IZQUIERDO DEL BALANCIN),PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.214,Y,N,0,25181600,,,,,,
5SYV-355430-8300,IN,KD,PRESSURE PIPE ASSY 3,TUBOS PREFORMADOS PARA REFRIGERANTE,PZA,PZA,8708999999,87089999,99,0,,,,,0,0.553,Y,N,CF SALE MXHTS2025040002,25174800,,,,,,
5HY0-160210-10000,IN,0,TAIL LIGHT,LUZ TRASERA,PZA,PZA,8512200200,85122002,0,0,,,,NOM-024-SCFI-2013,Need to label specific NOM-024 shipment mark,0.293,Y,N,0,39111603,,,,,,
5SYV-235000-8000-0BP00,IN,KD,FRONT CAB RH ASSY,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,6.916,Y,N,CF SALE MXHTS2025040016,25181604,,,,,,
0NYV-064110-3001,IN,KD,Shift shaft welding combination,PARTE PARA TRANSMISION,PZA,PZA,8708409999,87084099,99,5,3,1931R825050355,PARTE PARA TRANSMISION  SOPORTE DE TRASMISION PARA AJUSTE DE CHICOTE  MONTAJE PARA CAJA DE CAMBIOS  EJE IMPULSOR TRASERO  PALANCA DE VELOCIDADES  BALANCIN DE SELECTOR DE CAMBIOS  CAJA DE ENGRANES 8708409999,,,0.028,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
0NYM-A1A100-0800-M1,IN,KD,380Y-3 CF1000UU-8 EPA49 ENGINE,MOTOR,PZA,PZA,8407330400,84073304,0,0,,,,,,93.8,Y,N,CF SALE MXHTS2025080002,26101700,,,,,,
5HYV-032070-6000-H1M,IN,KD,Front crossbeam assembly.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,4.106,Y,N,0,25181604,,,,,,
5HY0-041041-0RE00,IN,0,FRONT LH TOP COVER,PANEL FRONTAL IZQUIERDO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.759,Y,N,0,25181604,,,,,,
JXMF-MX-0155,A1,Equipo,male thread connectorDN25,NIPLE,PZA,KG,7307999902,73079999,2,0,,,,,Contains metallic coatings steel prior permission not applicable,0.2,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
30400-02005,IN,0,BEARING,RODAMIENTOS,PZA,PZA,8482109999,84821099,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.17,Y,N,0,31171501,,,,,,
5BWV-230290-5000-H1M,IN,KD,Rear roof bar right side tube assembly,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,5.82,Y,N,0,25181604,,,,,,
5HYV-223033-6000,IN,0,DOOR CLASP,MANIJA,PZA,KG,3926300299,39263002,99,15,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.363,Y,N,0,25181604,,,,,,
601401-01054,A1,Equipo,screwdriver head,UTIL INTERCAMBIABLE,PZA,PZA,8207909900,82079099,0,35,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.05,Y,N,CF SALE MXHTS2025020017,25174800,,,,,,
5HYV-182520-6000,IN,0,CONNECTING TUBE 3,TUBO DE CAUCHO,PZA,KG,4009310602,40093106,2,0,,,,NO RRNA,0,0.345,Y,N,0,31162312,,,,,,
5ASV-171000-6T00,IN,KD,LCD DASHBOARD,TABLERO,PZA,PZA,9029200601,90292006,1,0,,,,NOM-024-SCFI-2013 // NOM-050-SCFI-2004,,0.32,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HYV-352200-9000,IN,KD,HEATER OUTLET PIPE,TUBOS PREFORMADOS PARA REFRIGERANTE,PZA,PZA,8708999999,87089999,99,0,,,,,0,0.06,Y,N,CF SALE MXHTS2025040002,25174800,,,,,,
5HYV-135000-4500-20,A1,KD,100x100 Waterproofing Bag,BOLSA DE PLASTICO,PZA,KG,3923299101,39232991,1,0,,,,,,0.01,Y,N,CF SALE MXHTS2025060011,24111503,,,,,,
5HY0-043074-00001,IN,0,SEALING STRIP TOOL BOX,SELLO DE CAUCHO,PZA,KG,4016930401,40169304,1,0,,,,NO RRNA,0,0.5,Y,N,0,13101600,,,,,,
5HY1-001001-111-Z,A1,HerramietasDeTrabajo,Cup Holder Pick-up Fixture,PARTES PARA ROBOT ENSAMBLADOR (EXRACTOR),PZA,PZA,8479901899,84799018,99,0,,,,,,4.3,Y,N,CF SALE MXHTS2025060007,25174800,,,,,,
940010-08470,A1,Equipo,Proximity switches,INTERRUPTOR,PZA,PZA,8536509901,85365099,1,0,,,,NOM-003-SCFI-2014,Can be imported,0.2,Y,N,0,39122205,,,,,,
5HYV-030006-6000-0BP00,IN,0,REFLECTOR RH BRACKET,SOPORTE,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.034,Y,N,0,24101600,,,,,,
5HYV-060610-6000,IN,0,REAR SWAY BAR ASSY,BARRA ESTABILIZADORA,PZA,PZA,8708809900,87088099,0,5,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,2.792,Y,N,0,25191700,,,,,,
940010-08203,A1,Equipo,EMDR1616 input expansion module,CONTROLADOR PROGRAMABLE,PZA,PZA,8537109999,85371099,99,0,,,,NO RRNA,0,0.227,Y,N,0,32151707,,,,,,
940010-06354,A1,Equipo,Tracheal connector,ACCESORIO DE TUBERIA (CONECTOR DE PLASTICO),PZA,KG,3917400100,39174001,0,0,,,,,,0.1,Y,N,CF SALE MXHTS2025110007,,Tube Z a,plastic,plastic,aZ c1 4 c o e 3 4a a a a a,Compressed air equipment spare parts,four wheeler
5BWV-042053-5000,IN,0,FRONT SERVICE COVER GUARD,PARTE PARA CARROCERIA,PZA,KG,3926300201,39263002,1,15,Ex. ,,,NO RRNA,0,0.3,Y,N,0,25181600,,,,,,
5HY1-221000-030-001-Z,A1,HerramietasDeTrabajo,Welding Tool No.1 for Cargo Box Welded Skeleton Assembly,CALIBRE DE CONTROL,PZA,PZA,9031809999,90318099,99,0,,,,,,944,Y,N,CF SALE MXHTS2025050032,25174800,,,,,,
5SYV-807300-8300-0RT00,IN,KD,FRONT LH DOOR ASSY,PUERTA,PZA,PZA,8708291900,87082919,0,0,,,,,0,12.1,Y,N,CF SALE MXHTS2025040002,25172200,,,,,,
5SYV-031730-6000-H1M,IN,0,REAR ROCKER ARM LEFT UPPER FRONT MOUNTING SEAT,BASCULANTE SUPERIOR IZQUIERDO DE MONTAJE DELANTERO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.082,Y,N,0,25181604,,,,,,
5ASV-169090-5300,IN,KD,MODE SWITCH,INTERRUPTOR ELECTRICO AUTOMOTRIZ,PZA,PZA,8536509908,85365099,8,0,,,,NOM-003-SCFI-2014 // NOM-024-SCFI-2013,,0.03,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
601401-00901,A1,Equipo,Grease gun,BOMBA DE MANO,PZA,PZA,8413200100,84132001,0,15,Ex. ,,,,,1.5,Y,N,0,25174800,,,,,,
5HYV-082100-6000,IN,0,BRAKE PEDAL ASSY,PEDAL,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.725,Y,N,0,39121432,,,,,,
940010-11167,A1,Equipo,flow meter,FLUJOMETRO,PZA,PZA,9026100702,90261007,2,0,,,,,,0.15,Y,N,CF SALE MXHTS2025040015,41112407,,,,,,
